id,eiin,new_building_space_available,new_building_space_amount,normal_class_room_count,multimedia_auditorium_room_count,multimedia_class_room_count,multimedia_interactive_class_room_count,headmaster_room_count,office_room_count,science_lab_count,boys_common_room_count,girls_common_room_count,teacher_common_room_count,hostel_count,auditorium_count,educational_materials_room_count,smart_board_tv_room_count,ict_lab_count,library_present,book_count,has_assistant_librarian,has_assistant_library_related_teacher,has_ict_lab,working_desktop_count,working_laptop_count,non_lab_desktop_count,non_lab_laptop_count,has_ict_teacher,ict_teacher_count,has_ict_capable_teacher,internet_used_for_teaching,is_exam_center,public_exam_center,is_registered_in_other_institute,total_registered_in_other_institute,has_internet,broadband,wifi,modem,mobile_hot_spot,total_building_number
1104,130908,true,25,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,true,false,false,NAKIPUR PILOT H.C.GOVTMENT SCHOOL,false,,true,true,true,false,false,1
1105,404419002,false,0,10,1,6,0,1,2,1,1,1,1,0,0,1,0,0,false,,false,false,false,,,2,16,true,2,false,true,false,JHENAIDAH NEW ACADEMY,true,49,true,true,false,false,false,1
1106,306768066,true,7,10,1,1,1,1,1,0,1,1,1,1,1,1,0,0,false,,false,true,false,,,0,1,true,2,,true,false,Kanchan Bharat Chandra High School,true,21,true,,,,true,3
1107,110707,true,4,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false,,false,false,false,,,0,0,false,,false,true,false,na,false,,true,,true,,,1
1108,116472,true,450,13,0,1,0,1,3,1,1,1,0,0,0,1,0,0,true,4000,false,true,false,,,1,0,true,1,,true,false,SOLIMUNNESA HIGH SCHOOL,false,,true,true,true,,,4
1109,106754,true,500,15,0,2,0,1,1,1,0,0,1,0,1,1,1,0,true,6602,true,,false,,,0,3,false,,true,true,false,Hutchinson pur High school,false,,true,,,true,true,2
1110,118976,true,16,10,1,0,0,1,1,0,0,1,1,0,1,1,0,0,true,2022,false,true,false,,,1,1,true,1,,true,false,SHYAMNAGAR KENDRIO MADRASHA,false,,true,,true,,,2
1111,114441,false,0,12,1,1,1,1,1,0,0,1,0,0,1,1,1,1,true,3000,false,true,true,20,2,0,1,true,1,false,true,false,Madhupur adorso islamia fazil madrasa,false,,true,false,true,false,false,3
1112,130228,false,,18,1,1,0,1,1,1,1,1,1,0,1,1,1,1,true,1000,true,,true,11,9,1,1,false,,true,true,false,Thana sadar school,false,,false,,,,,2
1113,119684,true,20,18,0,0,0,1,1,1,0,0,1,0,0,1,0,0,true,2250,true,,false,,,0,1,true,1,,true,false,sariakandi sorkari school,true,15,true,,true,,,2
1114,305440011,true,30,6,0,0,0,1,1,,0,0,0,1,0,1,0,0,false,,true,,false,,,1,1,true,1,,true,false,NURANI TALIMUL QURAN EDUCATION BOARD,false,,true,false,true,,true,5
1115,124413,true,12,11,0,1,0,1,1,1,0,1,1,0,1,1,0,0,true,3500,false,true,false,,,0,2,true,1,false,true,false,prosadpur kamil madrasa,false,,true,false,true,false,false,2
1116,105042,true,100,10,0,1,0,0,1,0,1,1,1,1,0,1,0,0,true,500,false,true,false,,,0,0,false,,true,true,false,Kanchona Anwar Ulum Alim Madrasah,false,,true,,,,true,5
1117,118981,true,15,10,1,1,0,1,1,0,0,1,0,1,0,0,0,0,true,2012,false,true,false,,,1,2,false,,true,true,false,SHAYMNAGAR CENTRAL DARUL ULUM KAMIL MADRASAH,false,,true,false,true,true,true,3
1118,113315,true,22,12,0,1,1,1,1,0,0,0,1,0,0,0,1,1,false,,false,false,true,0,16,0,0,false,,true,true,false,south ujanchar islamia alim madrasa,false,,true,false,true,false,false,5
1119,114358,true,20,14,1,0,0,1,1,0,0,0,1,0,0,1,0,1,true,350,true,,true,0,15,0,1,true,1,,true,false,MADHUPUR RANI VHABANI MODEL HIGH SCHOOL,false,,true,,true,,,5
1120,119503,true,5,6,0,0,0,1,1,1,0,1,0,0,0,0,0,1,true,2000,false,true,true,0,17,0,0,false,1,true,true,false,GABTALI PILOT HIGH SCHOOL,false,,true,,true,,,3
1121,405760001,true,15,12,0,1,0,0,1,1,0,1,1,0,0,1,1,0,false,,false,false,false,,,2,3,true,1,false,true,false,Mujibnagar Govt. Secondary School,true,38,true,true,true,false,true,1
1122,116527,true,100,20,1,1,0,1,2,1,0,1,2,0,1,1,0,1,true,3424,false,false,true,0,21,0,1,true,2,false,true,true,JHENAIDAH SIDDIKIA KAMIL MADRASHA,false,,true,false,true,false,false,2
1123,119677,true,18,9,0,0,0,1,1,1,0,1,1,0,0,1,1,1,true,2500,true,,true,0,17,0,0,false,,true,true,false,sariakandi pailot gris school,true,33,true,,true,,,1
1124,118932,true,15,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,true,false,false,,,0,1,true,1,false,false,false,NOWABENKI SECONDARY SCHOOL– 440,false,,true,false,true,false,false,3
1125,110677,true,33,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,false,,true,,false,0,1,0,1,false,,true,true,false,SAHEBRAMPUR KABI NAZRUL ISLAM DEGREE COLLEGE,false,,true,,true,,,1
1126,609127036,true,15,16,0,0,0,1,1,0,0,0,0,0,0,1,0,0,true,150,false,false,false,,,0,0,true,1,,false,false,jamiua rahmani Madrasah,false,,false,,,,,2
1127,119506,true,40,5,0,0,0,1,1,0,0,0,0,0,0,1,0,1,true,3000,true,,true,1,9,0,1,true,1,,true,false,Shibgonj.c. Mokamtola High School,false,,true,,true,true,true,3
