id,eiin,building_no,building_name,foundation_floor_count,year_built,total_floor_count,total_room_count,vertical_expansion_possible,type,condition
2781,306768066,1,1,1,2016,1,2,false,2,1
2782,306768066,2,2,1,2016,1,4,false,2,1
2783,306768066,3,3,1,2016,1,4,false,2,1
2784,110707,1,1,4,2023,4,3,true,1,1
2789,106754,1,1,4,2021,4,12,false,1,1
2790,106754,2,2,1,1996,1,3,false,1,1
2791,118976,1,1 Number Vabon,3,1990,2,10,false,1,2
2792,118976,2,2 Number Vabon,3,2018,2,10,true,1,1
2796,130228,1,01,2,2004,2,11,false,2,1
2797,130228,2,02,5,2022,5,12,false,1,1
2801,119684,1,abdul mannan vobon,6,2020,4,12,true,1,1
2802,119684,2,koritola s h vobon,3,1996,2,6,false,1,1
2839,119677,1,noukhila,4,2016,1,3,true,1,1
2843,110677,1,1,1,1919,1,5,false,2,1
2846,119506,1,01,3,1996,1,3,true,1,1
2847,119506,2,02,2,2002,1,2,true,1,1
2848,119506,3,03,0,1993,0,2,false,2,1
2849,116462,1,ACADEMIC O1,3,1995,3,11,false,1,1
2850,116462,2,LIBRARY 02,2,1975,2,4,false,1,1
2851,116462,3,ADMINITRATIVE 03,1,1971,1,5,false,1,1
2852,116462,4,ACADEMIC 02,4,2022,4,12,false,1,1
2857,119480,1,Academic Vabon 1,2,2006,2,111,false,1,1
2858,119480,2,Academic Vabon 2,4,2019,4,12,false,1,1
2876,108676,1,Ekademic vobon 1,2,2006,2,10,false,1,1
2877,108676,2,ekademic vobon 2,4,2020,1,3,true,1,1
2883,118925,1,Academic,3,1999,3,9,false,1,1
2884,118925,2,Academic 2,2,2007,2,4,false,1,1
2885,118925,3,Administrative,3,2007,2,4,true,1,1
2901,129963,1,???????? ???????,4,2007,4,4,true,1,1
2902,129963,2,???????? ???,4,2024,2,8,true,1,1
2903,129963,3,?????????? ???,2,1967,2,8,true,1,1
2936,100669013,1,???????? ??? ?,2,2008,1,5,true,2,1
2937,100669013,2,???????? ??? ?,2,2008,1,5,true,2,1
2938,100669013,3,???????? ???,1,2008,1,9,false,2,1
