id,eiin,teachers_count_total,teachers_count_female,staff_count_total,staff_count_female,trained_teachers,total_students,total_female_students,has_six_grade,total_seats_six,total_students_six,female_students_six,has_seven_grade,total_seats_seven,total_students_seven,female_students_seven,has_eight_grade,total_seats_eight,total_students_eight,female_students_eight,has_nine_grade,total_seats_nine,total_students_nine,female_students_nine,has_ten_grade,total_seats_ten,total_students_ten,female_students_ten,has_eleven_grade,total_seats_eleven,total_students_eleven,female_students_eleven,has_twelve_grade,total_seats_twelve,total_students_twelve,female_students_twelve,technical_teacher_count_total,technical_teacher_count_female,technical_staff_count_total,technical_staff_count_female,technical_trained_teachers,technical_ict_teachers,technical_total_male_students,technical_total_female_students,technical_total_seats,technical_total_students,total_seats_part_1,total_students_part_1,female_students_part1,total_seats_part_2,total_students_part_2,female_students_part2,total_seats_part_3,total_students_part_3,female_students_part3,total_seats_part_4,total_students_part_4,female_students_part4,total_seats_part_5,total_students_part_5,female_students_part5,total_seats_part_6,total_students_part_6,female_students_part6,total_seats_part_7,total_students_part_7,female_students_part7,total_seats_part_8,total_students_part_8,female_students_part8,female_students_part_1,female_students_part_2,female_students_part_3,female_students_part_4,female_students_part_5,female_students_part_6,female_students_part_7,female_students_part_8
1103,130908,6,1,6,2,3,103,44,true,40,31,15,true,40,39,15,true,40,33,14,false,,,,false,,,,false,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,404419002,21,6,11,3,0,250,133,true,60,60,33,true,61,61,35,true,63,63,34,true,49,49,22,true,17,17,9,false,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,306768066,8,3,1,1,0,141,53,true,25,25,9,true,40,40,15,true,25,25,8,true,30,30,15,true,21,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,110707,13,4,4,2,5,150,150,true,0,30,30,true,0,32,32,true,31,31,31,true,0,29,29,true,0,28,28,true,0,0,0,true,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,116472,17,3,6,1,17,422,258,true,92,90,62,true,92,87,53,true,92,81,35,true,92,80,57,true,92,84,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,106754,17,3,5,1,0,364,184,true,77,77,40,true,80,80,41,true,59,59,22,true,62,62,33,true,86,86,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,118976,14,1,5,1,3,321,128,true,100,65,26,true,120,106,49,true,100,66,19,true,60,50,18,true,50,34,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,114441,17,4,1,0,5,209,113,true,60,52,32,true,60,40,22,true,60,45,25,true,60,49,21,true,60,23,13,false,,,,false,,,,1,1,0,0,1,0,,18,80,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,130228,12,2,15,1,0,350,190,true,88,88,42,true,88,88,45,true,82,82,45,true,46,46,29,true,46,46,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,119684,9,2,6,1,8,597,246,true,150,96,46,true,150,105,45,true,150,134,62,true,150,137,50,true,150,125,43,true,0,0,0,true,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,305440011,8,0,1,1,0,130,15,true,30,15,0,true,30,15,0,true,30,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,124413,17,4,5,1,10,211,112,true,60,50,25,true,60,45,24,true,60,51,22,true,60,50,32,true,60,15,9,false,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,105042,15,6,3,0,3,471,268,true,150,105,66,true,120,90,59,true,120,106,72,true,120,90,32,true,120,80,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,118981,15,0,5,1,4,344,126,true,100,80,28,true,60,46,18,true,110,103,34,true,70,65,32,true,60,50,14,false,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
