id,eiin,strengthening_reading_habits_scheme_available,trained_organizer_available,books_registered,materials_received,book_shelf_available,chairs_and_tables_for_reading,book_supply_register_available,sixth_grade_members_count,seventh_grade_members_count,eighth_grade_members_count,ninth_grade_members_count,tenth_grade_members_count,honorarium_provided,visited_by_assistant_managers,member_register,book_issued,sixth_grade_books_issued_count,sixth_grade_books_received,seventh_grade_books_issued_count,seventh_grade_books_received,eighth_grade_books_issued_count,eighth_grade_books_received,ninth_grade_books_issued_count,ninth_grade_books_received,tenth_grade_books_issued_count,tenth_grade_books_received,manual_distributed,distribution_info_sent,visited,visited_by_monitoring_officer,visited_by_scheme_officer,visited_by_maushi,visited_by_others,books_received_on,sixth_grade_books_provided,seventh_grade_books_provided,eighth_grade_books_provided,ninth_grade_books_provided,tenth_grade_books_provided
1118,130908,true,true,true,true,true,false,true,17,18,14,0,0,false,true,true,true,17,17,13,12,16,16,0,0,0,0,true,true,true,true,false,false,false,26-12-2023,18,18,17,0,0
1119,404419002,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1120,306768066,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,110707,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,116472,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,106754,true,true,true,true,true,true,true,54,54,51,54,32,false,true,true,true,54,54,54,54,51,51,54,54,32,32,true,true,true,true,true,true,,14-01-2024,72,76,68,72,64
1124,118976,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,114441,true,true,true,true,true,false,true,20,20,15,15,10,false,true,true,true,20,20,20,20,15,15,15,15,5,5,true,true,true,true,false,false,false,02-01-2024,18,18,16,16,14
1126,130228,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,119684,true,true,true,true,true,true,true,55,45,60,60,55,true,true,true,true,30,25,20,18,35,30,30,28,20,17,true,true,true,true,,,,01-01-2014,250,200,250,350,250
1128,305440011,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,124413,true,true,true,true,true,true,true,20,22,20,20,11,false,true,true,true,15,14,14,13,12,11,14,13,10,8,true,true,true,true,false,false,true,25-02-2024,18,19,17,18,15
1130,105042,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,118981,true,true,true,true,true,true,true,20,29,78,54,19,false,true,true,false,,,,,,,,,,,true,true,true,true,false,false,false,26-12-2023,60,60,36,57,37
1132,113315,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1133,114358,true,true,true,true,true,false,true,40,40,40,39,28,true,true,true,true,17,17,21,20,20,20,4,4,32,32,true,true,true,true,,,,01-02-2024,53,54,54,51,44
1134,119503,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,405760001,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1136,116527,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1137,119677,true,true,true,true,true,true,true,33,28,34,35,30,false,true,true,true,28,28,34,34,32,32,35,33,28,28,true,true,true,true,,,,01-01-2024,44,44,44,44,44
1138,118932,true,true,true,true,true,false,true,39,49,68,51,37,true,true,true,true,33,33,36,36,35,35,18,18,26,26,true,true,true,false,true,false,false,26-12-2023,33,36,36,18,26
1139,110677,true,true,true,true,true,false,true,21,20,20,,,true,false,true,true,21,21,20,20,20,20,0,0,0,0,true,true,false,,,,,11-08-2015,20,15,15,,
1140,609127036,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,119506,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,116462,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,137663,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,119480,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,108863,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
