id,eiin,geographical_position,has_student_toilet,total_toilet_for_boys,total_toilet_for_girls,total_toilet_for_special_needs,has_teacher_toilet,total_toilet_for_male_teachers,total_toilet_for_female_teachers,total_toilet_for_commons,has_wash_block,total_wash_block_for_boys,total_wash_block_for_girls,total_wash_block_for_girls_with_napkin_facility,total_wash_block_for_male_teachers,total_wash_block_for_female_teachers,total_wash_block_for_commons,has_common_room,total_common_room_for_boys,total_common_room_for_girls,has_pta,has_fast_aid_box,conducts_cleaning_program,cleaning_program_number,has_playground,conducts_assembly,celebrates_national_days,has_shahid_minar,conducts_co_curricular_activities,annual_cultural_program,bncc,scout,girls_guide,rover,annual_sports,debate,conducts_awareness_programs,baalyabibaha_rodh,evtijing_protirodh,madok_birodhi_karyakram,sontrash_birodhi_karyakram,jangibad_domon_karyakram,nirapod_shorok_chai_karyakram,community_interaction,acid_nikkhep_protirudh,booling_protirudh,has_boundary_wall,boundary_type,has_safe_water,tubewell,deep_tubewell,supply_water,tap_water,rain_water,purifying_plant,fountain,well,has_ramp_for_disabled,sports_field,garden,open_space,enclosed_with_plants,few_plants,no_plants,pond_or_waterbody,has_electricity,national_grid,generator,solar,has_boundary_marked_wall,has_pond,has_temporary_wall,has_permanent_wall,has_partial_wall,has_natural_wall,was_flooded,flooded_year,days_closed_for_flood
1104,130908,1,true,1,1,0,true,1,1,0,true,0,1,1,0,1,1,false,,,true,true,true,8,true,true,true,false,true,true,false,false,false,false,true,false,true,true,false,true,false,false,false,false,false,false,false,,true,true,false,true,false,false,false,false,false,false,true,false,true,false,true,false,false,true,true,false,false,false,false,false,false,false,false,true,2023,2
1105,404419002,1,true,2,3,1,true,1,1,0,true,2,2,0,1,1,6,true,1,1,false,true,true,6,false,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,true,true,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,,
1106,306768066,1,true,1,1,0,true,1,1,1,true,1,1,0,1,1,3,true,1,1,false,true,true,12,true,true,true,false,true,true,,,,,,true,true,true,true,,,,true,,,,true,,true,,true,,,,,,,false,true,,true,,,,,true,true,,,,,,true,,,false,,
1107,110707,1,true,0,1,0,true,1,1,1,false,,,,,,,false,,,true,true,true,6,true,true,true,false,false,,,,,,,,true,true,true,true,,,,,true,,false,,true,true,,,,,,,,true,true,true,true,true,,,,true,true,,,,,,,,,false,2,
1108,116472,1,true,1,1,0,true,1,1,0,false,,,,,,,true,1,1,true,false,true,6,true,true,true,true,true,true,,,,true,true,,true,true,true,true,,,,,true,true,true,,true,true,,,,,,,,false,true,,true,,true,,,true,true,,,true,,,,,,false,,
1109,106754,2,true,5,5,0,true,1,1,1,true,1,1,1,1,1,0,false,,,true,true,true,24,true,true,true,false,true,true,,true,true,,true,true,true,true,true,true,,,true,,true,true,false,,true,,true,,,,,,,true,true,true,true,true,true,,,true,true,,true,,,,,,,false,,
1110,118976,1,true,1,1,1,true,1,1,1,true,0,0,0,0,1,0,true,0,1,true,true,true,6,true,true,true,true,true,true,,true,,,true,true,true,true,true,true,,,true,,true,,true,,true,,,,,,true,,,true,true,,,true,false,,true,true,true,,true,,,,true,,,true,2022,3
1111,114441,1,true,10,12,0,true,4,3,2,true,3,3,0,2,2,0,true,0,1,true,false,true,12,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,,true,true,false,false,true,false,false,false,false,false,true,false,true,false,true,false,false,true,true,false,false,true,false,false,false,true,false,false,,
1112,130228,4,true,1,1,0,true,1,0,0,true,1,0,1,0,0,0,true,0,1,true,true,true,4,true,true,true,false,false,,,,,,,,false,,,,,,,,,,true,,true,true,true,,,,,,,false,true,,,,,,,true,true,,,true,,,,,,true,2022,15
1113,119684,1,true,8,8,3,true,3,2,2,true,8,8,5,3,2,2,false,,,true,true,true,3,true,true,true,true,true,true,,true,,,true,true,true,true,true,true,,,true,,true,,true,,true,true,,,true,,,,,true,true,,true,true,true,false,,true,true,,true,,,,,true,,false,,
1114,305440011,1,true,4,0,0,true,2,0,0,true,1,,,,,,false,,,true,false,true,30,true,true,true,false,false,,,,,,,,true,true,true,true,,,true,,true,true,false,,true,,true,,,,,,,false,true,true,true,true,,,true,true,true,,,,,,,,,false,,
1115,124413,1,true,4,4,0,true,1,1,1,true,3,4,0,1,1,0,true,0,1,true,false,true,13,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,false,false,true,false,false,false,true,,true,true,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,true,true,false,true,false,false,true,false,true,false,false,,
1116,105042,2,true,2,2,0,true,1,1,0,false,,,,,,,true,1,1,false,false,true,3,true,true,true,true,true,true,,,true,,true,true,true,true,true,true,,,false,,,true,true,,true,false,true,,,,,,,false,true,true,true,true,,,,true,true,,true,,,,,true,,false,,
1117,118981,3,true,3,3,0,true,2,0,0,false,,,,,,,true,0,1,true,true,true,3,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,false,true,false,false,false,,true,false,false,false,false,true,false,false,false,true,true,false,true,false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,,
1118,113315,1,true,2,2,0,true,1,1,0,false,,,,,,,false,,,false,true,false,,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,false,false,false,false,false,false,true,,true,true,false,false,false,false,false,false,false,true,true,false,true,true,true,false,false,true,true,false,false,false,false,false,true,false,false,false,,
1119,114358,1,true,3,2,0,true,1,0,0,false,,,,,,,false,,,true,true,true,3,true,true,true,true,true,true,,true,true,,true,true,true,true,true,true,,,true,true,,,true,,true,true,,true,true,,,,,true,true,true,true,true,true,,,true,true,true,,true,,,true,,,false,,
1120,119503,1,true,2,2,1,true,1,1,0,true,0,0,0,0,0,1,true,0,1,true,true,true,14,true,true,true,true,true,true,false,true,true,,true,true,true,true,true,true,,,,,true,true,false,,true,true,,,true,,,,,true,true,,true,,true,,,true,true,,,,,,,,,false,,
1121,405760001,1,true,0,2,0,true,1,1,1,true,0,1,1,1,4,1,true,0,1,false,true,true,6,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,true,,true,true,false,true,false,false,false,false,false,true,true,true,true,true,false,false,false,true,true,false,false,true,false,false,true,false,false,false,,
1122,116527,1,true,5,2,0,true,2,2,1,true,0,0,0,1,1,2,true,0,1,false,true,true,9,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,true,true,false,,true,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,,
1123,119677,12,true,2,2,0,true,1,1,0,false,,,,,,,true,0,1,true,true,true,2,true,true,true,true,true,true,,true,,,true,true,true,true,true,true,,,,,true,,true,,true,true,true,,true,,,,,false,true,,,true,true,,,true,true,,true,,,,,true,,true,2014,365
1124,118932,1,true,4,3,1,true,1,1,1,true,0,1,1,1,1,0,false,,,true,true,true,12,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,false,false,true,false,false,,true,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,2020,14
1125,110677,1,true,0,1,0,true,1,1,0,false,,,,,,,false,,,true,true,true,12,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,true,true,true,true,false,,true,,,,,,true,,,true,true,,true,true,,,true,true,true,,,,,,,,,false,,
1126,609127036,4,true,4,2,0,true,2,2,1,false,,,,,,,false,,,false,true,true,3,true,true,true,false,false,,,,,,,,true,true,true,true,,,true,,,,true,,true,true,false,,,,,,,true,true,,,,true,,true,true,true,,,true,true,,,,,true,2022,30
1127,119506,1,true,0,1,0,true,0,0,1,false,,,,,,,false,,,true,true,true,6,false,true,true,false,true,true,,true,true,false,true,true,true,true,true,true,,,true,,true,true,true,,true,true,,,,,,,,false,,,,true,,,,true,true,,,,,,true,,,false,,
1128,116462,1,true,0,13,0,true,2,3,1,true,0,0,0,0,0,1,true,0,1,true,true,true,3,true,true,true,true,true,true,,,true,,true,true,true,true,true,true,,,true,,,true,true,,true,true,,,true,,,,,true,true,,true,true,,,,true,true,,,,,,,true,,false,,
1129,137663,1,true,2,2,0,true,1,1,0,false,1,1,0,1,1,0,true,0,1,true,false,true,1,true,true,true,true,true,true,,,,,true,true,true,true,true,true,,,true,true,true,true,true,,true,false,true,,,,,,,false,true,,true,true,true,,,true,true,,,true,,,false,true,,false,,
1130,119480,1,true,4,4,0,true,2,2,8,true,4,4,50,4,4,16,true,1,1,false,true,true,8,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,,,true,,true,true,true,,true,false,true,,,,true,,,false,true,,true,,true,,,true,true,,true,,,,true,,,false,,
1131,108863,1,true,2,3,0,true,1,1,1,true,0,0,1,0,0,1,false,0,0,true,true,true,12,true,true,true,false,true,true,,true,true,,true,true,true,true,true,true,,,true,true,true,,true,,true,true,true,,,,,,,true,true,,true,,true,,,true,true,,,,,,,true,,false,,
1132,137392,1,true,1,2,0,true,0,1,0,false,,,,,,,false,1,1,true,true,true,3,true,true,true,false,true,true,,false,false,,true,true,true,true,true,true,,,,,,false,true,,true,false,true,,,,,,,false,true,,,false,false,,false,true,true,,,,,,true,false,,false,,
1133,306768093,1,true,4,1,0,true,4,3,1,false,,,,,,,false,,,false,true,false,,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,false,true,,true,false,true,false,false,false,false,false,false,false,true,false,true,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,,
1134,108676,1,true,5,5,0,true,2,1,1,true,1,1,1,2,2,1,true,0,1,true,true,true,6,true,true,true,true,true,true,,true,true,,true,true,true,true,true,true,,,,,true,true,true,,true,true,,,,,true,,,false,true,,true,true,,,true,true,true,,,false,,true,false,true,,false,,
1135,116670,1,true,0,4,0,true,1,1,1,false,,,,,,,false,,,true,true,true,12,true,true,true,false,true,true,,,true,,true,true,true,true,true,true,,,true,,,true,true,,true,true,true,,,,,,,true,true,true,true,true,,,,true,true,,,,,,,true,,false,,
1136,118925,1,true,2,2,0,true,1,1,0,false,,,,,,,true,0,1,true,true,true,3,true,true,true,false,true,true,,true,true,,true,true,true,true,true,true,,,,,,,false,,true,,,true,,,,,,true,,true,true,true,,,true,true,true,,true,,,,,,,false,,
1137,110810,1,true,4,4,0,true,0,0,4,true,0,0,0,0,0,0,false,,,true,true,true,12,true,true,true,false,true,true,,true,,,true,true,true,true,true,true,,,true,true,true,true,true,,true,true,,,,,,,,true,true,,,,,,,true,true,,,,,,true,,,false,,
1138,114384,1,true,1,1,1,true,1,1,1,false,,,,,,,true,1,1,true,false,true,3,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,false,,true,true,false,false,false,false,false,false,false,false,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,,
1139,108058,1,true,4,5,0,true,0,0,1,true,2,2,0,1,1,1,true,1,1,true,true,true,3,false,true,true,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,,true,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,,
