REF NO,DISTRICT,UPAZILA,ORGANIZATION_NAME,EIIN
1,Barguna,Betagi,BIBCHINI NIAMATI UNITED HIGH SCHOOL AND COLLEGE,100256
2,Barguna,Patharghata,KATHALTALI SAPTAGRAM HIGH SCHOOL AND COLLEGE,100310
3,BARISHAL,Bakerganj,KGS SECONDARY SCHOOL AND COLLEGE,100492
4,Bhola,Lalmohan,GAZARIA GIRLS SCHOOL AND COLLEGE,101503
5,Bhola,Lalmohan,KARIMGONJ ISLAMIA ALIM MADRASHA,101530
6,Jhalokati,Jhalokati Sadar,SAYEDA JAMILA KHATUN GIRLS SCHOOLAND COLLEGE,101672
7,Pirojpur,Bhandaria,DHAWA RAJPASHA ADARSHA HS,102606
8,Bandarban,Naikhongchhari,BAISHARI HIGH SCHOOL AND COLLEGE,103129
9,Brahmanbaria,Bijoynagar,ISLAMPUR ALHAJ KAZI RAFIQUL ISLAM SCHOOL AND COLLEGE,103209
10,Brahmanbaria,Nabinagar,NABINAGAR HAZRAT AMENA POURA MOHILA DAKHIL MADRASAR,103434
11,Brahmanbaria,Nasirnagar,MADRASHA E A MERANIA K D S DMADRASHA,103462
12,Chandpur,Chandpur Sadar,BABURHAT HIGH SCHOOL AND COLLEGE,103573
13,Chandpur,Faridganj,MUNSHIRHAT GAND A ALI HIGH SCHOOL,103593
14,Chattogram,Chattogram,HOUSING AND SETTLEMENT PUBLIC SCHOOL,104295
15,Chattogram,Raozan,KADALPUR SCHOOL AND COLLEGE,104868
16,Chattogram,Sitakunda,SADEK MOSTAN HIGH SCHOOL,105093
17,Cumilla,Burichang,SADAKPUR ISLAMIA GIRLS DAKHIL MADRASAH,105324
18,Cumilla,Chandina,KARONKHAL SCHOOL AND COLLEGE,105339
19,Cumilla,Chauddagram,PADUA SUFIA RAHMAN HS,105410
20,Cumilla,Chauddagram,DHARMAPUR NAZIM ALI SCHOOL AND COLLEGE,105412
21,Cumilla,Chauddagram,BAGAIR GIRLS HIGH SCHOOL AND COLLEGE,105516
22,Cumilla,Chauddagram,BIJOYKORA SCHOOL AND COLLEGE,105518
23,Cumilla,Lalmai,HARISHCHAR UNION HIGH SCHOOL AND COLLEGE,105862
24,Coxs Bazar,Coxs Bazar Sadar,UMMEY SALMA R ISLAMIA GIRLS DHAKHIL MADRASHA,106307
25,Feni,Chhagalnaiya,CHANDGAZI HIGH SCHOOL AND COLLEGE,106504
26,Feni,Feni Sadar,BEGUM SAMSUR NAHAR GIRLS SCHOOL AND COLLEGE,106564
27,Feni,Feni Sadar,PANCHGACHIA AZ KHAN MEMORIAL SCHOOL AND COLLEGE,106595
28,Dhaka,Dhanmondi,KALOLI HIGH SCHOOL AND COLLEGE BANGLA VERSION,107963
29,Dhaka,Gulshan,T AND T ADARSHA GIRLS HIGH SCHOOL,108019
30,Dhaka,Gulshan,I P H SCHOOL AND COLLEGE,108023
31,Dhaka,Gulshan,GULSHAN MODEL HIGH SCHOOL AND COLLEGE,108037
32,Dhaka,Uttara,NAWAB HABIBULLAH MODEL SCHOOL AND COLLEGE,108540
33,Gazipur,Sreepur,ABED ALI GIRLS SCHOOL AND COLLEGE,109335
34,Gazipur,Sreepur,PROHLADPUR SCHOO AND COLLEGE,109349
35,Gazipur,Sreepur,HAJI CHOTO KALIM SCHOOL AND COLLEGE,109377
36,Gopalganj,Gopalganj Sadar,SHAHID GOLZAR GIRLS HIGH SCHOOL,109464
37,JAMALPUR,ISLAMPUR,BELGHACHA HIGHER SECONDARY S AND BM COLLEGE,109791
38,JAMALPUR,JAMALPUR SADAR,RAHIMA MOZZAFFAR IDEAL GIRLS SCHOOL AND COLLEGE,109868
39,JAMALPUR,JAMALPUR SADAR,HAZRAT SHAHJAMAL R SCHOOL AND COLLEGE,109938
40,JAMALPUR,MADARGANJ,SHOKNOGORI BOFAT UDDIN TALUKDER HIGH SCHOOL,110029
41,Kishoreganj,Hossainpur,SHAMSUL ISLAM IDEAL GIRLS HIGH SCHOOL,110312
42,Kishoreganj,Kishoreganj Sadar,JIA UDDIN SCHOOL AND COLLEGE,110466
43,Kishoreganj,Kishoreganj Sadar,KHAZA MAINUDDIN CHISTI DARUL ULUM DAKHIL MADRASHA,110471
44,Madaripur,Madaripur Sadar,ASMOT ALI KHAN PUBLIC SCHOOL ANDCOLLEGE,110724
45,Manikganj,Daulatpur,CHAKMIRPUR HIGH SCHOOL,110895
46,Manikganj,Harirampur,JHITKA PILOT GIRLS HIGH SCHOOL,110938
47,MYMENSINGH,NANDAIL,JOHURA KHATUN GIRLS HIGH SCHOOL,112033
48,MYMENSINGH,TRISHAL,ISLAMI ACADEMY SCHOOL AND COLLEGE TRISHAL,112197
49,Narayanganj,Araihazar,KALAGACHIA R F UB,112301
50,Narayanganj,Araihazar,UZAN GOBINDI BINAIRCHAR UB,112302
