id,eiin,institution_type,maximum_level,student_type,approval_status,management_type,mpo_status,has_technical_attachment,technical_type,teaching_medium_bangla,teaching_medium_english,teaching_medium_english_version,teaching_medium_arabic,shifts_operated,has_build_approval,has_teaching_approval,has_full_approval,has_no_approval
1135,130908,1,1,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1136,404419002,2,3,3,,2,2,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE
1137,306768066,1,2,3,,2,3,FALSE,,TRUE,,,,1,,,,TRUE
1138,110707,4,6,2,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1139,116472,1,2,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1140,106754,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1141,118976,4,6,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1142,114441,4,6,3,,2,1,TRUE,4,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE
1143,130228,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,,
1144,119684,1,2,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1145,305440011,5,10,3,,3,2,FALSE,,TRUE,,,TRUE,2,TRUE,TRUE,TRUE,
1146,124413,4,6,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1147,105042,4,6,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1148,118981,4,6,3,,2,1,FALSE,,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE
1149,113315,4,7,3,,2,1,FALSE,,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,FALSE
1150,114358,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1151,119503,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1152,405760001,1,1,2,,2,2,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
1153,116527,4,9,3,,2,1,FALSE,,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,FALSE
1154,119677,1,2,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1155,118932,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1156,110677,1,1,2,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1157,609127036,5,14,3,,2,2,FALSE,,,,,TRUE,1,TRUE,TRUE,TRUE,
1158,119506,1,2,2,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1159,116462,2,3,2,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1160,137663,6,3,3,,2,1,FALSE,1,TRUE,FALSE,,,1,,TRUE,TRUE,
1161,119480,1,3,3,,2,1,FALSE,,TRUE,TRUE,,,1,TRUE,TRUE,TRUE,
1162,108863,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1163,137392,1,1,3,,1,3,FALSE,1,TRUE,,,,1,TRUE,TRUE,TRUE,
1164,306768093,5,2,3,,2,2,FALSE,,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,TRUE,FALSE
1165,108676,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1166,116670,4,6,2,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1167,118925,1,2,3,,2,1,TRUE,1,TRUE,,,,1,,,TRUE,
1168,110810,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1169,114384,1,2,3,,2,1,TRUE,1,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
1170,108058,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,FALSE
1171,205158001,4,2,3,,3,3,FALSE,,TRUE,TRUE,,TRUE,2,TRUE,TRUE,TRUE,
1172,113998,1,2,2,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1173,138027,3,3,3,,2,2,FALSE,,TRUE,,,,1,,TRUE,,
1174,135669,3,16,3,,2,1,TRUE,3,TRUE,,,,1,,,TRUE,
1175,129963,4,7,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1176,119495,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1177,110701,4,5,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
